Id;Equipo;APP;Coord. X;Coord. Y;Pantalla;Tipo Evento;Dia/Hora;Contenido;Dia/Hora Fin ; Imagen;Foco;
MSI20190612202619867;MSI;Aquiles release_201711;0;0;1;Cursor;2019-06-12 20:26:19;{LEFT MOUSE}284 - 245; ;MSI_20190612202619787.jpg;FOCO
MSI20190612202621551;MSI;;19419920;60787408;2;Cursor;2019-06-12 20:26:21;{LEFT MOUSE}482 - 1067; ;MSI_20190612202621488.jpg;FOCO
MSI20190612202622191;MSI;;0;829;1;Cursor;2019-06-12 20:26:22;{LEFT MOUSE}547 - 1004; ;;
MSI20190612202623336;MSI;Recibidos - jesuschaconmontero@gmail.com - Gmail - Google Chrome;0;0;1;Cursor;2019-06-12 20:26:23;{LEFT MOUSE}339 - 133; ;MSI_20190612202623228.jpg;FOCO
MSI20190612202625286;MSI;Recibidos - jesuschaconmontero@gmail.com - Gmail - Google Chrome;0;0;1;Keystrokes;2019-06-12 20:26:25;{SHIFT}{SHIFT}{SHIFT}universiddad{ENTER};2019-06-12 20:26:29;MSI_20190612202629790.jpg
MSI20190612202629911;MSI;Resultados de la búsqueda - jesuschaconmontero@gmail.com - Gmail - Google Chrome;0;0;1;Cursor;2019-06-12 20:26:29;{RIGHT MOUSE}429 - 236; ;MSI_20190612202629848.jpg;FOCO
MSI20190612202634175;MSI;Resultados de la búsqueda - jesuschaconmontero@gmail.com - Gmail - Google Chrome;0;0;1;Cursor;2019-06-12 20:26:34;{LEFT MOUSE}498 - 400; ;MSI_20190612202634118.jpg;
MSI20190612202637094;MSI;;19419920;60788408;2;Cursor;2019-06-12 20:26:37;{LEFT MOUSE}519 - 1070; ;MSI_20190612202637032.jpg;FOCO
MSI20190612202638505;MSI;Aquiles release_201711;0;0;1;Cursor;2019-06-12 20:26:38;{LEFT MOUSE}266 - 255; ;MSI_20190612202638445.jpg;FOCO
MSI20190612202638636;MSI;Aquiles release_201711;0;0;1;Cursor;2019-06-12 20:26:38;{LEFT MOUSE}266 - 255; ;;
